,first_name,last_name,gender,DOB,job_industry_category,wealth_segment,owns_car,state,AGE,Age_Groups
82,Esther,Rooson,Female,1981-02-22,Financial Services,Mass Customer,No,NSW,39.0,Age : 21 - 40
83,Gardie,Crellim,Male,1975-09-12,Manufacturing,High Net Worth,No,VIC,45.0,Age : 41 - 60
84,Sean,O'Loughlin,Male,1961-03-22,Manufacturing,High Net Worth,Yes,NSW,59.0,Age : 41 - 60
86,Marysa,Rouchy,Female,1999-02-15,Entertainment,Affluent Customer,No,NSW,21.0,Age : 21 - 40
88,Ossie,Midden,Male,1950-02-10,Manufacturing,Mass Customer,Yes,NSW,70.0,Age : 61 - 80
89,Sid,Carlone,Male,1971-08-18,Health,Affluent Customer,No,QLD,49.0,Age : 41 - 60
91,Patricia,Everix,Female,1978-02-19,Health,Mass Customer,No,NSW,42.0,Age : 41 - 60
92,Andromache,Bonafacino,Female,1977-09-01,Retail,Mass Customer,No,NSW,43.0,Age : 41 - 60
95,Jehu,Prestedge,Male,1999-10-20,Manufacturing,High Net Worth,Yes,NSW,20.0,Age : 0 - 20
96,Symon,Mawne,Male,1943-02-08,Property,Mass Customer,Yes,VIC,77.0,Age : 61 - 80
97,Karlik,Penchen,Male,1994-10-31,Retail,Mass Customer,No,QLD,25.0,Age : 21 - 40
98,Bengt,Bilson,Male,1972-11-02,Manufacturing,High Net Worth,No,NSW,47.0,Age : 41 - 60
99,Evangelin,Boc,Female,2000-05-09,Manufacturing,High Net Worth,Yes,VIC,20.0,Age : 0 - 20
100,Hanny,Treven,Female,1991-01-22,Retail,Mass Customer,No,QLD,29.0,Age : 21 - 40
101,Gina,Mallon,Female,1994-02-11,Health,Mass Customer,No,QLD,26.0,Age : 21 - 40
102,Reynold,Elman,Male,1940-01-18,Manufacturing,Mass Customer,No,NSW,80.0,Age : 61 - 80
103,Flossy,Concannon,Female,1980-10-20,Financial Services,Affluent Customer,No,VIC,39.0,Age : 21 - 40
104,Cristen,Wiltshire,Female,1961-10-20,Financial Services,High Net Worth,Yes,VIC,58.0,Age : 41 - 60
105,Griffith,Escot,Male,1946-10-23,IT,Mass Customer,Yes,QLD,73.0,Age : 61 - 80
106,Jamie,Jiruca,Female,1963-06-16,Argiculture,Mass Customer,No,NSW,57.0,Age : 41 - 60
107,Lyon,Brittan,Male,1972-04-23,Retail,High Net Worth,No,VIC,48.0,Age : 41 - 60
109,Michal,Bryan,Female,1969-11-09,Manufacturing,Mass Customer,Yes,QLD,50.0,Age : 41 - 60
110,Franciska,Stigell,Female,1968-11-15,Health,Mass Customer,Yes,VIC,51.0,Age : 41 - 60
111,Jordan,Clampe,Male,1939-12-09,Financial Services,Mass Customer,Yes,QLD,80.0,Age : 61 - 80
113,Meriel,Tapp,Female,1995-08-13,IT,Mass Customer,No,VIC,25.0,Age : 21 - 40
114,Dolley,Starmont,Female,1977-11-08,Manufacturing,Affluent Customer,No,QLD,42.0,Age : 41 - 60
115,Frederik,Milan,Male,1997-11-13,Health,Mass Customer,No,NSW,22.0,Age : 21 - 40
116,Rollo,Louedey,Male,1946-07-09,Telecommunications,Affluent Customer,Yes,NSW,74.0,Age : 61 - 80
117,Jerrine,Cosbey,Female,1978-01-11,Financial Services,High Net Worth,Yes,VIC,42.0,Age : 41 - 60
118,Roddy,Rubinshtein,Male,1987-10-08,Retail,Mass Customer,Yes,QLD,32.0,Age : 21 - 40
119,Viki,Coutts,Female,1952-12-14,Property,Mass Customer,Yes,NSW,67.0,Age : 61 - 80
120,Ashby,Bispham,Male,1981-10-29,Retail,Affluent Customer,No,NSW,38.0,Age : 21 - 40
123,Peria,Rantoull,Female,1975-03-13,Financial Services,Mass Customer,No,QLD,45.0,Age : 41 - 60
125,Elsworth,Abbitt,Male,1956-02-08,Health,Mass Customer,Yes,VIC,64.0,Age : 61 - 80
126,Rebeca,Aggas,Female,1953-02-27,Health,Affluent Customer,No,VIC,67.0,Age : 61 - 80
127,Ricki,Dobrowski,Male,1975-03-10,Manufacturing,Mass Customer,Yes,NSW,45.0,Age : 41 - 60
128,Georgetta,Lovett,Female,1940-02-02,Retail,Mass Customer,No,QLD,80.0,Age : 61 - 80
129,Bambi,Cogger,Female,1990-07-12,Retail,Affluent Customer,Yes,NSW,30.0,Age : 21 - 40
130,Aurie,Rhead,Female,1962-07-28,Manufacturing,Affluent Customer,Yes,NSW,58.0,Age : 41 - 60
133,Nowell,Preddy,Male,1985-07-23,Manufacturing,Mass Customer,No,NSW,35.0,Age : 21 - 40
134,Lacy,Drance,Female,1978-02-05,Manufacturing,Affluent Customer,Yes,NSW,42.0,Age : 41 - 60
136,Malorie,Votier,Female,1990-05-29,Manufacturing,Affluent Customer,No,QLD,30.0,Age : 21 - 40
137,Shepperd,Ricards,Male,1967-09-27,Health,Mass Customer,Yes,NSW,52.0,Age : 41 - 60
138,Daryl,Pauncefort,Female,1979-06-18,Financial Services,Mass Customer,Yes,NSW,41.0,Age : 41 - 60
139,Norina,Blakeway,Female,1980-02-11,Property,Mass Customer,Yes,VIC,40.0,Age : 21 - 40
140,My,Chaston,Male,1966-07-16,Manufacturing,Affluent Customer,Yes,VIC,54.0,Age : 41 - 60
141,Isak,Bergstram,Male,2001-03-08,Health,Affluent Customer,Yes,NSW,19.0,Age : 0 - 20
142,Grannie,Cracker,Male,1949-03-06,Retail,Mass Customer,Yes,QLD,71.0,Age : 61 - 80
143,Welby,Lourenco,Male,1975-12-27,Financial Services,High Net Worth,Yes,NSW,44.0,Age : 41 - 60
144,Glenn,Casbourne,Female,1981-08-08,Manufacturing,Mass Customer,No,QLD,39.0,Age : 21 - 40
145,Nadiya,Balasini,Female,1950-11-05,Financial Services,Mass Customer,No,NSW,69.0,Age : 61 - 80
146,Tyne,Coate,Female,1965-07-15,Manufacturing,Mass Customer,No,NSW,55.0,Age : 41 - 60
147,Christie,Anders,Male,1969-10-02,Retail,Mass Customer,No,NSW,50.0,Age : 41 - 60
148,Agnella,Capener,Female,1969-05-21,Health,High Net Worth,No,VIC,51.0,Age : 41 - 60
149,Bernardine,Delmonti,Female,1971-03-31,Property,Mass Customer,No,NSW,49.0,Age : 41 - 60
150,Daisy,Spowart,Female,1967-12-18,Health,Affluent Customer,Yes,QLD,52.0,Age : 41 - 60
151,Denys,Minshall,Female,1961-12-26,Manufacturing,Affluent Customer,Yes,NSW,58.0,Age : 41 - 60
152,Archibald,Blessed,Male,1969-02-10,Financial Services,Mass Customer,Yes,NSW,51.0,Age : 41 - 60
153,Feodor,Englishby,Male,1961-08-14,Health,Mass Customer,No,VIC,59.0,Age : 41 - 60
154,Skippie,Yearsley,Male,1956-09-04,Financial Services,Mass Customer,No,QLD,64.0,Age : 61 - 80
155,Bill,,Female,1963-04-24,Property,Mass Customer,Yes,NSW,57.0,Age : 41 - 60
156,Tessa,Friese,Female,1976-10-24,Financial Services,Mass Customer,No,QLD,43.0,Age : 41 - 60
157,Roseanne,Caruth,Female,1957-05-25,Health,Mass Customer,No,NSW,63.0,Age : 61 - 80
160,Nichole,Leisman,Male,1986-08-07,Property,Affluent Customer,No,NSW,34.0,Age : 21 - 40
161,Amil,Ennor,Female,1995-08-04,Health,Mass Customer,Yes,VIC,25.0,Age : 21 - 40
162,Shawna,Hinrichsen,Female,1969-08-27,Manufacturing,Affluent Customer,Yes,NSW,51.0,Age : 41 - 60
165,Robert,Corkill,Male,1976-03-12,Health,Mass Customer,No,NSW,44.0,Age : 41 - 60
166,Elvira,Kurten,Female,1973-03-18,Financial Services,High Net Worth,No,NSW,47.0,Age : 41 - 60
167,Juliana,Mitchenson,Female,1989-01-05,Manufacturing,Mass Customer,Yes,QLD,31.0,Age : 21 - 40
168,Regine,Bownes,Female,1952-07-01,Retail,Affluent Customer,No,VIC,68.0,Age : 61 - 80
169,Abner,Fraschetti,Male,1986-01-23,Argiculture,Affluent Customer,No,VIC,34.0,Age : 21 - 40
171,Sawyer,Sponton,Male,1956-02-22,Property,Mass Customer,Yes,NSW,64.0,Age : 61 - 80
172,Feodor,Vickers,Male,1989-11-18,Financial Services,Mass Customer,Yes,NSW,30.0,Age : 21 - 40
173,Paten,Cayet,Male,1995-02-19,Manufacturing,Affluent Customer,Yes,VIC,25.0,Age : 21 - 40
174,Loria,Tappington,Female,1955-09-06,Property,Mass Customer,No,VIC,65.0,Age : 61 - 80
175,Tanya,Kiefer,Female,1992-07-05,Telecommunications,High Net Worth,No,NSW,28.0,Age : 21 - 40
177,Omero,McDonand,Male,1952-04-01,Manufacturing,Mass Customer,No,NSW,68.0,Age : 61 - 80
178,Iain,Haversham,Male,1950-12-26,Retail,Mass Customer,Yes,NSW,69.0,Age : 61 - 80
179,Keriann,Newham,Female,1975-03-26,Financial Services,Mass Customer,No,QLD,45.0,Age : 41 - 60
180,Conroy,Rappaport,Male,1965-01-08,Health,High Net Worth,No,NSW,55.0,Age : 41 - 60
181,Dorian,Rustman,Male,1974-12-09,Manufacturing,Mass Customer,No,QLD,45.0,Age : 41 - 60
183,Harlin,Mazin,Male,1974-03-25,Manufacturing,Mass Customer,Yes,NSW,46.0,Age : 41 - 60
184,Eustacia,Dornan,Female,1985-09-02,Property,Mass Customer,No,VIC,35.0,Age : 21 - 40
185,Maury,Galego,Male,1992-07-27,Health,High Net Worth,Yes,VIC,28.0,Age : 21 - 40
186,Reggie,Kernar,Female,1971-11-28,Financial Services,High Net Worth,No,NSW,48.0,Age : 41 - 60
188,Kinna,Kollasch,Female,1986-11-09,Property,High Net Worth,No,QLD,33.0,Age : 21 - 40
189,Maurizio,Comi,Male,1996-05-30,IT,Affluent Customer,No,NSW,24.0,Age : 21 - 40
190,Elbertina,Fendley,Female,1992-03-27,Property,Affluent Customer,No,NSW,28.0,Age : 21 - 40
191,Franklin,Wohler,Male,1938-10-16,Health,Mass Customer,Yes,NSW,81.0,Age : 81 - 100
192,Allyson,Petchell,Female,1970-03-19,Telecommunications,High Net Worth,No,NSW,50.0,Age : 41 - 60
193,Ermentrude,Heindle,Female,1969-08-02,Argiculture,Mass Customer,No,NSW,51.0,Age : 41 - 60
194,Alanna,Lerway,Female,1944-01-05,Health,Mass Customer,Yes,VIC,76.0,Age : 61 - 80
195,Vincent,Jopke,Male,1972-03-10,Property,Affluent Customer,No,VIC,48.0,Age : 41 - 60
199,Charlena,Berney,Female,1966-01-02,Manufacturing,High Net Worth,Yes,QLD,54.0,Age : 41 - 60
201,Engracia,Dobbs,Female,1959-04-19,Health,Mass Customer,No,NSW,61.0,Age : 61 - 80
202,Glyn,,Male,1945-02-13,Manufacturing,Affluent Customer,Yes,NSW,75.0,Age : 61 - 80
203,Rosemonde,Cartwight,Female,1952-10-20,Retail,Mass Customer,Yes,QLD,67.0,Age : 61 - 80
206,Benoit,Harniman,Male,1976-08-27,Telecommunications,Affluent Customer,No,QLD,44.0,Age : 41 - 60
208,Jenelle,Fearnill,Female,1958-01-03,Health,High Net Worth,No,NSW,62.0,Age : 61 - 80
209,Tannie,Gambrell,Male,1967-05-25,Financial Services,Affluent Customer,No,QLD,53.0,Age : 41 - 60
210,Mick,Macewan,Male,1967-12-12,Financial Services,Mass Customer,No,NSW,52.0,Age : 41 - 60
211,Abbie,Oldman,Male,1983-11-26,Health,High Net Worth,Yes,NSW,36.0,Age : 21 - 40
212,Tabbie,Curner,Male,1997-03-13,Retail,Mass Customer,No,VIC,23.0,Age : 21 - 40
213,Shane,Killen,Male,1956-10-16,Entertainment,High Net Worth,No,NSW,63.0,Age : 61 - 80
214,Roberta,Goodale,Female,1947-02-28,Property,Mass Customer,Yes,QLD,73.0,Age : 61 - 80
215,Kippy,Barabisch,Male,2000-04-07,Manufacturing,Mass Customer,No,NSW,20.0,Age : 0 - 20
217,Cami,Barnbrook,Female,1963-01-01,Health,Affluent Customer,Yes,QLD,57.0,Age : 41 - 60
218,Dorian,Stollen,Male,1980-02-16,Financial Services,Mass Customer,Yes,NSW,40.0,Age : 21 - 40
219,Hunfredo,Hayball,Male,1994-04-15,IT,Affluent Customer,No,NSW,26.0,Age : 21 - 40
220,Giorgi,O'Shirine,Male,1981-06-20,Retail,Mass Customer,Yes,VIC,39.0,Age : 21 - 40
221,Kort,Disley,Male,1979-02-05,Health,Mass Customer,Yes,NSW,41.0,Age : 41 - 60
223,Tobiah,Heinsius,Male,2000-01-25,Health,High Net Worth,No,NSW,20.0,Age : 0 - 20
224,Wallace,Newart,Male,1977-12-06,IT,Mass Customer,No,QLD,42.0,Age : 41 - 60
225,Hersh,Stubbert,Male,2000-06-25,Manufacturing,Mass Customer,Yes,QLD,20.0,Age : 0 - 20
227,Wyn,Saynor,Male,1964-06-22,Financial Services,High Net Worth,No,NSW,56.0,Age : 41 - 60
228,Maribeth,Stivani,Female,1954-11-13,Financial Services,Mass Customer,No,NSW,65.0,Age : 61 - 80
229,Abigale,Sives,Female,1963-12-13,Health,Affluent Customer,Yes,QLD,56.0,Age : 41 - 60
230,Gothart,Artus,Male,1978-05-31,Health,Mass Customer,Yes,NSW,42.0,Age : 41 - 60
231,Danny,Bodle,Male,1943-09-24,Manufacturing,Mass Customer,Yes,NSW,77.0,Age : 61 - 80
233,Deborah,Petrovsky,Female,1943-07-14,Property,Mass Customer,No,NSW,77.0,Age : 61 - 80
235,Rolland,Esmead,Male,1940-07-13,Health,Affluent Customer,No,NSW,80.0,Age : 61 - 80
236,Latrena,Walklate,Female,1943-10-05,Telecommunications,High Net Worth,Yes,NSW,76.0,Age : 61 - 80
238,Leticia,Danovich,Female,1941-10-02,Entertainment,Mass Customer,Yes,QLD,78.0,Age : 61 - 80
240,Farra,Matyushkin,Female,1974-01-24,Manufacturing,High Net Worth,Yes,VIC,46.0,Age : 41 - 60
241,Robenia,Monks,Female,1959-05-08,Manufacturing,Mass Customer,No,QLD,61.0,Age : 61 - 80
242,Roman,Eastwood,Male,1969-09-21,Manufacturing,Affluent Customer,Yes,VIC,50.0,Age : 41 - 60
243,Solomon,Bruck,Male,1957-11-15,Health,Mass Customer,No,QLD,62.0,Age : 61 - 80
245,Katharine,Redbourn,Female,1967-09-11,Manufacturing,Affluent Customer,Yes,VIC,53.0,Age : 41 - 60
246,Cammy,Stoneham,Female,1963-05-02,Financial Services,High Net Worth,No,QLD,57.0,Age : 41 - 60
247,Ellsworth,Andrieux,Male,1971-04-26,Financial Services,Affluent Customer,Yes,QLD,49.0,Age : 41 - 60
248,Federico,Leuty,Male,1978-12-11,Property,High Net Worth,Yes,NSW,41.0,Age : 41 - 60
249,Ferdy,Hornung,Male,1974-05-14,Entertainment,High Net Worth,No,QLD,46.0,Age : 41 - 60
250,Sunny,Christescu,Female,1975-03-12,Financial Services,Mass Customer,No,NSW,45.0,Age : 41 - 60
251,Shadow,Yakutin,Male,1967-02-03,Health,Affluent Customer,Yes,QLD,53.0,Age : 41 - 60
252,Sharai,Priddie,Female,1961-01-16,Retail,Mass Customer,No,NSW,59.0,Age : 41 - 60
253,Celeste,Fretson,Female,1980-09-16,IT,Mass Customer,No,NSW,40.0,Age : 21 - 40
254,Lea,Ilyinski,Female,1997-09-25,Financial Services,High Net Worth,No,NSW,22.0,Age : 21 - 40
255,Dyann,Olechnowicz,Female,1939-07-17,Manufacturing,Mass Customer,No,VIC,81.0,Age : 81 - 100
256,Delly,Sunman,Female,1959-04-11,Retail,Mass Customer,No,VIC,61.0,Age : 61 - 80
259,Kaela,Romaines,Female,1971-11-27,Manufacturing,High Net Worth,No,NSW,48.0,Age : 41 - 60
260,Evonne,Bembridge,Female,1969-07-06,Retail,Mass Customer,Yes,VIC,51.0,Age : 41 - 60
261,Shannen,Lewin,Female,1991-06-07,Argiculture,High Net Worth,No,QLD,29.0,Age : 21 - 40
262,Bogey,Attew,Male,1992-11-18,IT,Mass Customer,Yes,QLD,27.0,Age : 21 - 40
263,Zondra,Ringham,Female,1948-01-13,Financial Services,Mass Customer,Yes,QLD,72.0,Age : 61 - 80
264,Barnebas,Apfel,Male,1996-02-19,Manufacturing,Affluent Customer,Yes,QLD,24.0,Age : 21 - 40
266,Gerri,Schimann,Female,1969-11-17,Property,Mass Customer,Yes,NSW,50.0,Age : 41 - 60
267,Antonietta,Egle,Female,1973-09-25,Financial Services,Mass Customer,No,VIC,46.0,Age : 41 - 60
268,Raff,Waycott,Male,1951-12-16,Manufacturing,Affluent Customer,Yes,VIC,68.0,Age : 61 - 80
269,Lark,Gonet,Female,1972-01-17,Health,High Net Worth,No,NSW,48.0,Age : 41 - 60
270,Cletis,Longley,Male,1996-07-01,Manufacturing,High Net Worth,Yes,VIC,24.0,Age : 21 - 40
271,Bartram,Di Lucia,Male,1961-01-03,Argiculture,Mass Customer,Yes,NSW,59.0,Age : 41 - 60
272,Theresa,Cowper,Female,1976-08-24,Manufacturing,Mass Customer,No,NSW,44.0,Age : 41 - 60
273,Philbert,Raraty,Male,1956-06-28,Manufacturing,Mass Customer,No,NSW,64.0,Age : 61 - 80
274,Egon,Ortells,Male,1976-06-11,Manufacturing,Affluent Customer,No,NSW,44.0,Age : 41 - 60
276,Timi,Duny,Female,1953-03-12,Telecommunications,High Net Worth,No,NSW,67.0,Age : 61 - 80
277,Dominick,Asher,Male,1962-10-06,Health,Affluent Customer,Yes,VIC,57.0,Age : 41 - 60
278,Raye,Roo,Female,1976-03-07,Financial Services,Mass Customer,Yes,VIC,44.0,Age : 41 - 60
279,Becka,Hacon,Female,1965-07-03,Financial Services,Affluent Customer,No,VIC,55.0,Age : 41 - 60
281,Verla,Dumingos,Female,1971-09-18,Telecommunications,Mass Customer,Yes,VIC,49.0,Age : 41 - 60
282,Sherrie,Godleman,Female,1978-04-02,Manufacturing,Mass Customer,No,VIC,42.0,Age : 41 - 60
284,Konstanze,Hovie,Female,1967-01-09,Health,Mass Customer,No,QLD,53.0,Age : 41 - 60
285,Bink,Bentje,Male,1957-03-23,Financial Services,High Net Worth,Yes,NSW,63.0,Age : 61 - 80
286,Taber,Szymon,Male,1947-04-22,Argiculture,Affluent Customer,No,QLD,73.0,Age : 61 - 80
288,Giana,Staresmeare,Female,1976-04-20,Retail,Affluent Customer,Yes,NSW,44.0,Age : 41 - 60
289,Morton,Petkens,Male,1990-11-13,Manufacturing,High Net Worth,Yes,VIC,29.0,Age : 21 - 40
291,Paquito,Atwood,Male,1972-07-30,Manufacturing,Affluent Customer,No,VIC,48.0,Age : 41 - 60
293,Shelli,Bartholomaus,Female,1963-05-11,Health,Mass Customer,Yes,VIC,57.0,Age : 41 - 60
294,Kermit,Lebond,Male,1980-02-01,Financial Services,Mass Customer,No,QLD,40.0,Age : 21 - 40
295,Biddie,Gorce,Female,1988-01-30,Financial Services,Mass Customer,Yes,NSW,32.0,Age : 21 - 40
296,Rupert,Marrow,Male,1970-08-08,Property,High Net Worth,No,NSW,50.0,Age : 41 - 60
297,Geoff,Sitford,Male,1965-02-27,Financial Services,Mass Customer,Yes,NSW,55.0,Age : 41 - 60
298,Ange,Chitham,Female,1991-02-14,Argiculture,Mass Customer,No,NSW,29.0,Age : 21 - 40
299,Tiphanie,Blackader,Female,1947-10-08,Retail,Mass Customer,No,NSW,72.0,Age : 61 - 80
300,Zollie,Crinidge,Male,1988-01-10,Retail,Mass Customer,Yes,QLD,32.0,Age : 21 - 40
301,Daisy,Pollen,Female,1993-08-09,Financial Services,Mass Customer,No,VIC,27.0,Age : 21 - 40
302,Emelen,Bidnall,Male,1981-08-05,Health,Affluent Customer,Yes,NSW,39.0,Age : 21 - 40
304,Manya,Abramovici,Female,1955-07-17,Financial Services,High Net Worth,Yes,QLD,65.0,Age : 61 - 80
305,Brynna,Tivers,Female,1974-08-09,Financial Services,Mass Customer,No,QLD,46.0,Age : 41 - 60
307,Alfi,Sabbins,Female,1959-06-12,Financial Services,High Net Worth,Yes,NSW,61.0,Age : 61 - 80
308,Loleta,Aberdalgy,Female,1981-02-15,Health,Mass Customer,No,NSW,39.0,Age : 21 - 40
